id,date,text,user,location,geo,place,friends_count,followers_count,favorite_count,retweet_count,hashtags
1409999985328984067,2021-06-29 22:19:27,b'@Cody_Dragon @CVUMwood I will definitely be somewhere for Halo Infinite launch AND expect a COFC LAN next spring',b'jamaican116',"b'Charleston, SC'",,,988,1773,3,0,[]
1409999486965923846,2021-06-29 22:17:28,b'@LORDOFSUCC1 @mrgruntington Blocked me too lmao. He loves to spout his opinion about how Infinite is pandering to c\xe2\x80\xa6 https://t.co/STMLWtNAVZ',b'Guriinman',b'Tokyo 3',,,218,74,1,0,[]
1409998353413414916,2021-06-29 22:12:58,"b""@Halopedia I think we'll see this version in Halo infinite""",b'Jaimeicefire177',"b'Bogot\xc3\xa1, D.C., Colombia'",,,2148,115,0,0,[]
1409998177302892547,2021-06-29 22:12:16,b'- Back4Blood\n- Forza Horizon 5\n- The Ascent\n- LiF: True color\n- 12 minutes\n- Hades\n- MS Flight Simulator\n- Psychona\xe2\x80\xa6 https://t.co/f4DPw5lzmo',b'SwanNoble',b'France',,,158,229,3,0,[]
1409996649095745538,2021-06-29 22:06:12,"b'@Harry101UK Man, I would LOVE to have this sort of tool in @Halo Infinite\xe2\x80\x99s forge mode! @DavidEllis @pardontomfrench @ske7ch @k_wolfkill'",b'HaloFanForLife',"b'Pittsburgh, PA'",,,793,1914,1,0,[]
1409996547731996676,2021-06-29 22:05:48,b'@ShittyHaloTakes Well halo 5 is an abomination an that is just a fact. Halo infinite is way closer to my idea of halo than guardians.',b'TheROFLCOPTER2',b'Imperium Romanorum.',,,90,17,0,0,[]
1409996340625645574,2021-06-29 22:04:58,b'halo infinite is never coming out',b'SIightIySusTy',b'\xf0\x9f\x97\x9d',,,136,59,0,0,[]
1409995595025207296,2021-06-29 22:02:00,b'@TheSimms I completely forgot about that. Honestly I only played Halo 5 for a few months after the game came out an\xe2\x80\xa6 https://t.co/2WsK5BLVET',b'ElitheSensei',b'Virginia Beach',,,680,1337,0,0,[]
1409995530671996930,2021-06-29 22:01:45,"b'@castelarbr @mzkjnky80 @_SomeMexicanBoi oh and flight sim, the ascent, halo infinite, forza horizon 5, and other gr\xe2\x80\xa6 https://t.co/Qy2M3NS8eP'",b'kaimlefig',b'Paris',,,156,37,0,0,[]
1409993537903480834,2021-06-29 21:53:50,b'@DrewskysChannel Looking forward to Infinite and playing with the whole Halo sandbox. Dropped into MCC and could on\xe2\x80\xa6 https://t.co/1Ft54mSvha',b'xRookXI',b'',,,1262,209,0,0,[]
1409992702377312256,2021-06-29 21:50:31,"b'""Yo, I got a genius idea. Let\'s sell Halo Infinite as two separate games (something that makes no sense) so that wh\xe2\x80\xa6 https://t.co/z49NxO8EOV'",b'39BraveGirls',b'She?',,,782,246,0,0,[]
